path,title,current_category,new_category,new_tags
_posts/2026-03-22-ein-weiteres-trainingslager-ist-hinter-uns.md,Ein weiteres Trainingslager ist hinter uns 👀,coordination,coordination,
_posts/2026-03-22-neuromuscular-activation.md,Neuromuscular activation 🔥🧠,coordination,coordination,warmup
_posts/2026-03-23-great-performance.md,Great performance!,training,technique,
_posts/2026-03-24-3-games-develop-your-stamina.md,3 games develop your stamina 💪✅,"floorball,training",technique,
_posts/2026-03-24-coach-vs-goalie.md,Coach vs Goalie🥊,training,technique,game-situation
_posts/2026-03-24-i-do-it-anyways.md,I do it anyways 🧠📈,"floorball,training",technique,
_posts/2026-03-24-in-floorball-speed-is-everything-quick-feet-fast-hands-and-rapid.md,"In floorball, speed is everything — quick feet, fast hands, and rapid","floorball,training",technique,
_posts/2026-03-24-movements.md,Movements 📈,"floorball,training",movement,
_posts/2026-03-25-academy-morning-training-in-lappeenranta.md,Academy morning training in Lappeenranta.,training,technique,
_posts/2026-03-25-fun-warm-up.md,Fun warm up.,"floorball,training",coordination,"footwork,strength,warmup"
_posts/2026-03-26-pre-workout-throw-workout.md,Pre-workout throw workout,training,technique,
_posts/2026-03-27-3-top-games-which-one-do-you-like-it-more.md,3 top games ( which one do you like it more 😄😄),"floorball,training",technique,
_posts/2026-03-27-achtung-die-ubung-ist-fies.md,Achtung ⚠️ die Übung ist fies,strength,strength,
_posts/2026-03-27-goalie-coordination-by-vaud-unihockey-crp-spe.md,Goalie coordination by Vaud Unihockey CRP | SPE,coordination,coordination,
_posts/2026-03-27-you-dont-have-to-be-an-athlete-to-move-like-one.md,You don’t have to be an athlete to move like one,coordination,coordination,
_posts/2026-03-28-it-s-all-about-having-fun.md,It's all about having fun,training,technique,
_posts/2026-03-28-simple-drill-to-improve-ball-aggression-and-angle-positioning.md,Simple drill to improve ball aggression and angle positioning 🔥,training,technique,positioning
_posts/2026-03-30-4-zones-every-goalie-needs-to-master.md,4 zones every goalie needs to master 🥅,training,technique,
_posts/2026-03-30-control-your-body-then-control-the-game.md,Control your body — then control the game,coordination,coordination,
_posts/2026-03-30-malvakten-pa-elitniva-ska-ha-en-val-balanserad-grundpositionering-for.md,Målvakten på elitnivå ska ha en väl balanserad grundpositionering för,training,technique,positioning
_posts/2026-04-01-this-save-is-crazy.md,This save is crazy 😳🔥,training,technique,
_posts/2026-04-02-off-season-fix-your-body.md,OFF-SEASON = FIX YOUR BODY 🏑,stretching,strength,"injury-recovery,mobility,stretching"
_posts/2026-04-03-goalie-positioning-when-the-ball-is-in-the-corner.md,Goalie positioning when the ball is in the corner 🥅,training,reaction,"positioning,vision"
_posts/2026-04-04-live-tic-tac-toe-no-ball-slalom-claim-a-square.md,❌⭕ LIVE TIC TAC TOE (NO BALL) | SLALOM → CLAIM A SQUARE 🔥😂,"floorball,training",warmup,footwork
_posts/2026-04-05-sometimes-luck-plays-role-too.md,Sometimes luck plays role too😂🍀,training,technique,
_posts/2026-04-06-grundlaggande-for-malvakten-ar-att-vara-aktiv-och-ta-hand-om-egna.md,Grundläggande för målvakten är att vara aktiv och ta hand om egna,"floorball,training",technique,"positioning,rebound-control"
_posts/2026-04-06-hand-eye-coordination-with-tennis-balls.md,Hand-eye coordination with tennis balls 🎾 🥅✅,coordination,coordination,"hand-eye,tennis-ball"
_posts/2026-04-06-went-for-the-ball-got-the-stick-instead.md,Went for the ball… got the stick instead 😂,training,technique,
_posts/2026-04-09-goalie-coordination-by-matis-bureau-morel-junior-a-hockey-goalie.md,Goalie coordination by Matis Bureau-Morel — Junior A hockey goalie,coordination,coordination,
_posts/2026-04-10-cognitive-skills-for-goalkeepers.md,✅ Cognitive Skills for Goalkeepers,coordination,reaction,"coordination,hand-eye"
_posts/2026-04-10-goalie-coordination-by.md,Goalie coordination by ШКОЛА ХОККЕЙНЫХ ВРАТАРЕЙ | КАЗАНЬ 🔴,coordination,coordination,
_posts/2026-04-10-great-two-on-one-drill-which-is-realistic-and-has-a-moment-of.md,Great two-on-one drill which is realistic and has a moment of,"floorball,training",technique,
_posts/2026-04-10-kraft-schnelligkeit.md,Kraft💪🏼 Schnelligkeit⚡️,"floorball,training",technique,
_posts/2026-04-12-great-drill-to-include-in-your-training-or-even-as-a-warm-up.md,Great drill to include in your training or even as a warm-up⚡,training,technique,"coordination,mental,movement,reaction,warmup"
_posts/2026-04-13-snatching-rebounds-out-of-the-air-is-still-one-of-the-coolest-moves.md,Snatching rebounds out of the air is still one of the coolest moves,training,technique,rebound-control
_posts/2026-04-15-sometimes-you-need-to-do-a-little-bit-of-breakdance-when-you-want-to.md,Sometimes you need to do a little bit of breakdance when you want to,training,technique,
_posts/2026-04-17-a-diferenca-ve-se-ao-fim-de-semanas.md,A diferença vê-se ao fim de semanas…,training,technique,
_posts/2026-04-18-pre-match-with-tennis-ball.md,Pre-Match With Tennis Ball 🎾,coordination,coordination,"hand-eye,match-prep,tennis-ball"
_posts/2026-04-19-juggling.md,Juggling 🧰💿🗿,coordination,coordination,"hand-eye,juggling"
_posts/2026-04-20-the-kids-loses-the-motivation-when-working-on-the-basic-skills.md,The Kids loses the motivation when working on the Basic Skills?,"floorball,training",technique,
_posts/2026-04-24-cognitive-skills-for-goalkeepers.md,✅ Cognitive Skills for Goalkeepers,coordination,reaction,"coordination,hand-eye"
_posts/2026-04-24-goalie-coordination-by-true-focus-vision.md,Goalie coordination by True Focus Vision,coordination,coordination,"mental,vision"
_posts/2026-04-24-inner-core-strength.md,Inner Core Strength,"warmup,strength",strength,"mental,warmup"
_posts/2026-04-26-flooball-squash.md,Floorball Squash,"warmup,coordination",technique,"coordination,hand-eye,reaction,warmup"
_posts/2026-04-26-medicine-ball-exercise-one.md,Medicine Ball Exercise I,"warmup,strength",strength,"medicine-ball,warmup"
_posts/2026-04-27-cossack-squats.md,Cossack Squats,"strength,stretching",strength,stretching
_posts/2026-04-27-excercise-with-pylons-in-front-of-the-goal.md,Excercise with Pylons in front of the Goal,"goal-technical,reaction,movement",technique,"movement,reaction"
_posts/2026-04-27-frog-stretch-for-goalie-movement.md,Frog Stretch for Goalie Movement,stretching,movement,"mobility,stretching"
_posts/2026-04-27-how-to-handeye-coordination.md,How to hand-eye coordination,"coordination,reaction",reaction,"coordination,hand-eye"
_posts/2026-04-27-how-to-position-your-hand.md,How to position your hand,"goal-technical,movement",technique,"movement,positioning"
_posts/2026-04-27-improving-leg-strength-on-a-rubberband-leash.md,Improving Leg Strength on a Rubberband Leash,"warmup,strength,movement",strength,"band,movement,warmup"
_posts/2026-04-27-improving-leg-strength-with-swedish-ladder-and-rubberband.md,Improving leg strength with Swedish Ladder and Rubberband,"warmup,coordination,strength,reaction,movement",reaction,"band,coordination,footwork,movement,strength,warmup"
_posts/2026-04-27-medicine-ball-exercises-ii.md,Medicine Ball Exercises II,"warmup,strength",strength,"medicine-ball,warmup"
_posts/2026-04-27-moving--catching-on-rubberband.md,Moving & Catching on Rubberband,"warmup,coordination,strength,reaction,movement",technique,"band,coordination,hand-eye,movement,reaction,strength,warmup"
_posts/2026-04-27-reactive-ball-control-and-grip.md,Reactive Ball Control and Grip,"coordination,reaction",technique,"coordination,hand-eye,reaction"
_posts/2026-04-27-scorpion-stretching.md,Scorpion Stretching,stretching,mobility,stretching
_posts/2026-04-27-sidepush-with-medicine-ball.md,Sidepush with Medicine Ball,"warmup,strength,movement",strength,"medicine-ball,movement,warmup"
_posts/2026-04-27-steady-movement--catching.md,Steady Movement & Catching,"goal-technical,coordination,reaction,movement",technique,"coordination,hand-eye,movement,reaction"
_posts/2026-04-27-this-drill-builds-the-foundation-most-athletes-skip-lateral-power.md,"This drill builds the foundation most athletes skip, lateral power","floorball,training",reaction,"coordination,footwork,game-situation,movement,strength"
_posts/2026-04-27-training-eye-motion-with-obstables.md,Training Eye Motion with Obstacles,"warmup,coordination,reaction",reaction,"coordination,vision,warmup"
_posts/2026-04-29-.md,,"strength,stretching",strength,stretching
_posts/2026-04-29-active-defense-against-high-shots.md,Active Defense Against High Shots,"goal-technical,reaction",technique,"positioning,reaction"
_posts/2026-04-29-balancing-on-fitness-ball-while-catching.md,Balancing on fitness ball while catching,"warmup,coordination",technique,"coordination,hand-eye,warmup"
_posts/2026-04-29-body-saw.md,Body Saw,"strength,stretching",strength,stretching
_posts/2026-04-29-cossack-squats--beginner--advanced-progression.md,Cossack Squats - Beginner & Advanced Progression,stretching,strength,stretching
_posts/2026-04-29-dynamic-lateral-bounds.md,Dynamic lateral bounds,"strength,stretching",strength,"footwork,movement,stretching"
_posts/2026-04-29-forearm-push-up.md,Forearm Push Up,,technique,
_posts/2026-04-29-frontfoot-elevated-split-squat.md,Frontfoot elevated split squat,"strength,stretching",strength,stretching
_posts/2026-04-29-heel-tap.md,Heel Tap,"strength,stretching",strength,stretching
_posts/2026-04-29-how-to-lateral-bound.md,How To Lateral Bound,,movement,footwork
_posts/2026-04-29-howto-drop-jump.md,Howto Drop Jump,,strength,
_posts/2026-04-29-jump-squads.md,Jump Squads,"strength,stretching",strength,stretching
_posts/2026-04-29-knee-tucks-done-right.md,Knee Tucks done right,"strength,stretching",strength,stretching
_posts/2026-04-29-kneeling-jump-to-box-jump.md,Kneeling Jump to Box Jump,"strength,stretching",strength,stretching
_posts/2026-04-29-kneeling-jump-to-broad-jump.md,Kneeling Jump to Broad Jump,"strength,stretching",strength,stretching
_posts/2026-04-29-lateral-box-step-up.md,Lateral Box step up,"strength,stretching",strength,"footwork,movement,stretching"
_posts/2026-04-29-mountain-climbs--beginner--advanced.md,Mountain climbs - Beginner & Advanced,"strength,stretching",strength,stretching
_posts/2026-04-29-plank-up-plank-push-up.md,Plank Up (Plank Push Up),,technique,
_posts/2026-04-29-smart-drill-with-cones.md,Smart Drill with Cones,"goal-technical,coordination,reaction",technique,"coordination,footwork,reaction"
_posts/2026-04-29-strength-for-the-abdomen-and-back.md,Strength for the Abdomen and Back,"strength,stretching",strength,stretching
_posts/2026-05-01-goalie-coordination-by.md,Goalie coordination by Нейро-Вратарь,coordination,coordination,
_posts/2026-05-01-off-season-is-where-real-players-are-built.md,Off-season is where real players are built.,"floorball,training",technique,
_posts/2026-05-04-catching-balls--starting-with-hands-behind-back.md,Catching Balls - Starting with Hands behind back,"warmup,coordination",technique,"coordination,hand-eye,warmup"
_posts/2026-05-04-closerange-shooting-practice-including-returns.md,Close-range shooting practice including returns,goal-technical,technique,rebound-control
_posts/2026-05-04-color-hunt.md,Color Hunt,"warmup,coordination,strength,reaction,movement",reaction,"coordination,movement,positioning,strength,warmup"
